Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,410.02,0,48.42,"19,852.80",0
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,1,Carne,120709.00,1.53,34.93,4216130.00,78914887.00
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,4,Huevo plato,"3,499.74",0,24.1,"84,332.30",0
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,8,Ganado en pie,161804.00,2.05,24.86,4022640.00,0.00
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,10741.10,262.09,81.18,871949.00,40982.00
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,19253.10,469.79,43.46,836749.00,0.00
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,"101,237",0,6.57,"665,015",0
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,74.25,22.27,64.85,4815.19,3334.00
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,141.87,42.55,32.18,4565.51,0.00
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,366.57,26.22,77.47,28399.90,13982.00
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,698.02,49.92,36.54,25504.50,0.00
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,775.37,84.24,45.36,35167.90,9204.00
2021,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,1038.91,112.88,28.96,30086.10,0.00
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,73.7,0,48.42,"3,568.31",0
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave,1,Carne,44678.90,1.53,35.16,1570940.00,29193351.00
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave,8,Ganado en pie,59747.20,2.05,24.99,1493050.00,0.00
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,565.01,257.88,81.09,45815.40,2191.00
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,1019.15,465.15,42.68,43500.10,0.00
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,"40,735.30",0,6.5,"264,838",0
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,42.33,20.73,64.86,2745.32,2042.00
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,80.88,39.61,32.11,2597.18,0.00
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,53.26,25.10,77.42,4123.24,2122.00
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,3,Ganado en pie,101.86,48.00,37.22,3790.87,0.00
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,1,Carne,5635.80,84.70,45.22,254849.00,66539.00
2021,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,3,Ganado en pie,7462.33,112.15,28.65,213773.00,0.00
2021,1,Aguascalientes,1,Aguascalientes,3,Calvillo,1,Abeja,7,Miel,22.51,0,48.42,"1,089.92",0
2021,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,1,Carne,6070.87,260.42,80.50,488694.00,23312.00
2021,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,3,Ganado en pie,10923.80,468.59,42.85,468091.00,0.00
2021,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,6,Leche,"30,311.60",0,6.51,"197,233",0
2021,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,1,Carne,2.07,21.56,64.99,134.53,96.00
2021,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,3,Ganado en pie,3.93,40.94,32.16,126.37,0.00
2021,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,1,Carne,17.65,25.14,75.33,1329.57,702.00
2021,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,3,Ganado en pie,33.70,48.01,35.73,1204.18,0.00
2021,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,1,Carne,78.84,86.16,43.94,3464.02,915.00
2021,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,3,Ganado en pie,112.11,122.52,27.12,3040.68,0.00
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,1,Abeja,7,Miel,38.8,0,48.41,"1,878.48",0
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave,1,Carne,20187.90,1.53,35.34,713344.00,13213313.00
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave,8,Ganado en pie,27045.50,2.05,25.02,676618.00,0.00
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,1,Carne,3509.48,255.51,80.84,283701.00,13735.00
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,3,Ganado en pie,6358.92,462.97,42.50,270226.00,0.00
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,6,Leche,"27,769.20",0,6.52,"181,139",0
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,1,Carne,2.38,20.70,65.03,154.78,115.00
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,3,Ganado en pie,4.52,39.30,32.26,145.80,0.00
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,1,Carne,10.03,24.83,75.43,756.61,404.00
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,3,Ganado en pie,18.93,46.86,36.18,684.86,0.00
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,1,Carne,76.99,87.39,44.06,3391.83,881.00
2021,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,3,Ganado en pie,109.57,124.37,27.25,2985.62,0.00
2021,1,Aguascalientes,1,Aguascalientes,5,Jesús María,1,Abeja,7,Miel,13.57,0,48.43,657.24,0
2021,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,1,Carne,9552.32,1.53,35.31,337285.00,6250782.00
2021,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,4,Huevo plato,"5,144.71",0,24.08,"123,870",0
2021,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,8,Ganado en pie,12778.60,2.04,24.94,318640.00,0.00
2021,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,1,Carne,7464.17,257.37,80.95,604217.00,29002.00
2021,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,3,Ganado en pie,13420.80,462.75,42.90,575795.00,0.00
2021,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,6,Leche,"50,049.50",0,6.56,"328,234",0
