Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,301.707,,50.64,15278.463,0
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,1,Carne,122676.489,1.644,40.84,5009917.531,74618367
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,4,Huevo plato,3700.293,,31.31,115856.174,0
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,8,Ganado en Pie,160813.157,2.155,29.86,4802290.868,0
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,11294.089,267.107,87.45,987681.428,42283
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en Pie,20196.21,477.644,47.51,959611.735,0
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,106959.486,,9.06,969549.509,0
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,65.439,22.643,77.72,5086.09,2890
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en Pie,124.609,43.117,38.94,4852.104,0
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,385.304,25.687,93.12,35877.786,15000
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en Pie,739.678,49.312,44.21,32702.478,0
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,836.723,90.515,53.42,44697.106,9244
2024,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en Pie,1078.572,116.678,36.28,39133.642,0
